volunteer_id,schedule_date,shift_type,scheduled_hours,schedule_status
9548,2021-01-01,Afternoon,4,Scheduled
9508,2021-01-01,Afternoon,4,Scheduled
9543,2021-01-05,Day,4,Scheduled
9508,2021-01-05,Day,4,Scheduled
9548,2021-01-05,Afternoon,4,Scheduled
9540,2021-01-11,Day,4,Scheduled
9543,2021-01-11,Day,4,Scheduled
9548,2021-01-12,Day,4,Scheduled
9516,2021-01-12,Day,4,Scheduled
9508,2021-01-12,Afternoon,4,Scheduled
9516,2021-01-18,Day,4,Scheduled
9540,2021-01-18,Day,4,Scheduled
9570,2021-01-19,Day,4,Scheduled
9508,2021-01-19,Day,4,Scheduled
9548,2021-01-20,Day,4,Scheduled
9543,2021-01-20,Day,4,Scheduled
9508,2021-01-25,Day,4,Scheduled
9540,2021-01-25,Day,4,Scheduled
9548,2021-01-25,Afternoon,4,Scheduled
9516,2021-01-25,Afternoon,4,Scheduled
9543,2021-01-26,Day,4,Scheduled
9570,2021-01-26,Day,4,Scheduled
9543,2021-02-02,Day,4,Scheduled
9516,2021-02-02,Day,4,Scheduled
9540,2021-02-03,Day,4,Scheduled
9570,2021-02-03,Day,4,Scheduled
9508,2021-02-03,Afternoon,4,Scheduled
9548,2021-02-03,Afternoon,4,Scheduled
9540,2021-02-08,Afternoon,4,Scheduled
9516,2021-02-08,Afternoon,4,Scheduled
9508,2021-02-09,Day,4,Scheduled
9543,2021-02-09,Day,4,Scheduled
9548,2021-02-11,Day,4,Scheduled
9570,2021-02-11,Day,4,Scheduled
9548,2021-02-15,Afternoon,4,Scheduled
9540,2021-02-15,Afternoon,4,Scheduled
9543,2021-02-16,Day,4,Scheduled
9570,2021-02-16,Day,4,Scheduled
9516,2021-02-16,Afternoon,4,Scheduled
9508,2021-02-16,Afternoon,4,Scheduled
9570,2021-02-22,Day,4,Scheduled
9516,2021-02-22,Day,4,Scheduled
9508,2021-02-22,Afternoon,4,Scheduled
9548,2021-02-22,Afternoon,4,Scheduled
9543,2021-02-24,Day,4,Scheduled
9540,2021-02-24,Afternoon,4,Scheduled
9508,2021-03-01,Day,4,Scheduled
9543,2021-03-01,Day,4,Scheduled
9540,2021-03-02,Day,4,Scheduled
9570,2021-03-02,Day,4,Scheduled
9516,2021-03-02,Afternoon,4,Scheduled
9548,2021-03-02,Afternoon,4,Scheduled
9516,2021-03-08,Day,4,Scheduled
9557,2021-03-09,Day,4,Scheduled
9548,2021-03-09,Day,4,Scheduled
9508,2021-03-09,Afternoon,4,Scheduled
9543,2021-03-09,Afternoon,4,Scheduled
9570,2021-03-10,Day,4,Scheduled
9542,2021-03-10,Day,4,Scheduled
9540,2021-03-12,Day,4,Scheduled
9557,2021-03-15,Day,4,Scheduled
9570,2021-03-15,Day,4,Scheduled
9543,2021-03-15,Afternoon,4,Scheduled
9540,2021-03-15,Afternoon,4,Scheduled
9516,2021-03-17,Afternoon,4,Scheduled
9548,2021-03-17,Afternoon,4,Scheduled
9508,2021-03-18,Day,4,Scheduled
9542,2021-03-18,Day,4,Scheduled
9570,2021-03-22,Day,4,Scheduled
9548,2021-03-22,Day,4,Scheduled
9516,2021-03-22,Afternoon,4,Scheduled
