schedule_id,volunteer_id,schedule_date,shift_type,scheduled_hours,schedule_status,date_key
1,9548,2021-01-01,Afternoon,4,Scheduled,2021-01-01
2,9508,2021-01-01,Afternoon,4,Scheduled,2021-01-01
3,9543,2021-01-05,Day,4,Scheduled,2021-01-05
4,9508,2021-01-05,Day,4,Scheduled,2021-01-05
5,9548,2021-01-05,Afternoon,4,Scheduled,2021-01-05
6,9540,2021-01-11,Day,4,Scheduled,2021-01-11
7,9543,2021-01-11,Day,4,Scheduled,2021-01-11
8,9548,2021-01-12,Day,4,Scheduled,2021-01-12
9,9516,2021-01-12,Day,4,Scheduled,2021-01-12
10,9508,2021-01-12,Afternoon,4,Scheduled,2021-01-12
11,9516,2021-01-18,Day,4,Scheduled,2021-01-18
12,9540,2021-01-18,Day,4,Scheduled,2021-01-18
13,9570,2021-01-19,Day,4,Scheduled,2021-01-19
14,9508,2021-01-19,Day,4,Scheduled,2021-01-19
15,9548,2021-01-20,Day,4,Scheduled,2021-01-20
16,9543,2021-01-20,Day,4,Scheduled,2021-01-20
17,9508,2021-01-25,Day,4,Scheduled,2021-01-25
18,9540,2021-01-25,Day,4,Scheduled,2021-01-25
19,9548,2021-01-25,Afternoon,4,Scheduled,2021-01-25
20,9516,2021-01-25,Afternoon,4,Scheduled,2021-01-25
21,9543,2021-01-26,Day,4,Scheduled,2021-01-26
22,9570,2021-01-26,Day,4,Scheduled,2021-01-26
23,9543,2021-02-02,Day,4,Scheduled,2021-02-02
24,9516,2021-02-02,Day,4,Scheduled,2021-02-02
25,9540,2021-02-03,Day,4,Scheduled,2021-02-03
26,9570,2021-02-03,Day,4,Scheduled,2021-02-03
27,9508,2021-02-03,Afternoon,4,Scheduled,2021-02-03
28,9548,2021-02-03,Afternoon,4,Scheduled,2021-02-03
29,9540,2021-02-08,Afternoon,4,Scheduled,2021-02-08
30,9516,2021-02-08,Afternoon,4,Scheduled,2021-02-08
31,9508,2021-02-09,Day,4,Scheduled,2021-02-09
32,9543,2021-02-09,Day,4,Scheduled,2021-02-09
33,9548,2021-02-11,Day,4,Scheduled,2021-02-11
34,9570,2021-02-11,Day,4,Scheduled,2021-02-11
35,9548,2021-02-15,Afternoon,4,Scheduled,2021-02-15
36,9540,2021-02-15,Afternoon,4,Scheduled,2021-02-15
37,9543,2021-02-16,Day,4,Scheduled,2021-02-16
38,9570,2021-02-16,Day,4,Scheduled,2021-02-16
39,9516,2021-02-16,Afternoon,4,Scheduled,2021-02-16
40,9508,2021-02-16,Afternoon,4,Scheduled,2021-02-16
41,9570,2021-02-22,Day,4,Scheduled,2021-02-22
42,9516,2021-02-22,Day,4,Scheduled,2021-02-22
43,9508,2021-02-22,Afternoon,4,Scheduled,2021-02-22
44,9548,2021-02-22,Afternoon,4,Scheduled,2021-02-22
45,9543,2021-02-24,Day,4,Scheduled,2021-02-24
46,9540,2021-02-24,Afternoon,4,Scheduled,2021-02-24
47,9508,2021-03-01,Day,4,Scheduled,2021-03-01
48,9543,2021-03-01,Day,4,Scheduled,2021-03-01
49,9540,2021-03-02,Day,4,Scheduled,2021-03-02
50,9570,2021-03-02,Day,4,Scheduled,2021-03-02
51,9516,2021-03-02,Afternoon,4,Scheduled,2021-03-02
52,9548,2021-03-02,Afternoon,4,Scheduled,2021-03-02
53,9516,2021-03-08,Day,4,Scheduled,2021-03-08
54,9557,2021-03-09,Day,4,Scheduled,2021-03-09
55,9548,2021-03-09,Day,4,Scheduled,2021-03-09
56,9508,2021-03-09,Afternoon,4,Scheduled,2021-03-09
57,9543,2021-03-09,Afternoon,4,Scheduled,2021-03-09
58,9570,2021-03-10,Day,4,Scheduled,2021-03-10
59,9542,2021-03-10,Day,4,Scheduled,2021-03-10
60,9540,2021-03-12,Day,4,Scheduled,2021-03-12
61,9557,2021-03-15,Day,4,Scheduled,2021-03-15
62,9570,2021-03-15,Day,4,Scheduled,2021-03-15
63,9543,2021-03-15,Afternoon,4,Scheduled,2021-03-15
64,9540,2021-03-15,Afternoon,4,Scheduled,2021-03-15
65,9516,2021-03-17,Afternoon,4,Scheduled,2021-03-17
66,9548,2021-03-17,Afternoon,4,Scheduled,2021-03-17
67,9508,2021-03-18,Day,4,Scheduled,2021-03-18
68,9542,2021-03-18,Day,4,Scheduled,2021-03-18
69,9570,2021-03-22,Day,4,Scheduled,2021-03-22
70,9548,2021-03-22,Day,4,Scheduled,2021-03-22
71,9516,2021-03-22,Afternoon,4,Scheduled,2021-03-22
72,9540,2021-03-22,Afternoon,4,Scheduled,2021-03-22
73,9557,2021-03-23,Afternoon,4,Scheduled,2021-03-23
74,9542,2021-03-23,Afternoon,4,Scheduled,2021-03-23
75,9508,2021-03-26,Day,4,Scheduled,2021-03-26
76,9543,2021-03-26,Day,4,Scheduled,2021-03-26
77,9540,2021-03-29,Day,4,Scheduled,2021-03-29
